Order_ID,Product,Category,Price,Quantity
1001,Laptop,Electronics,55000,2
1002,Mouse,Accessories,900,5
1003,Keyboard,Accessories,1800,3
1004,Monitor,Electronics,15000,2
1005,Headphone,Accessories,5000,4
1006,Laptop,Electronics,55000,1
1007,Mouse,Accessories,900,8
1008,Keyboard,Accessories,1800,6
1009,Monitor,Electronics,15000,3
1010,Headphone,Accessories,5000,2
1011,Laptop,Electronics,55000,3
1012,Mouse,Accessories,900,10
1013,Keyboard,Accessories,1800,4
1014,Monitor,Electronics,15000,1
1015,Headphone,Accessories,5000,5
